OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2019-03-01,13,0,2019-03-01T20:00:00-00:00,2019-03-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,616.64777,ACTUAL,1
2019-03-01,15,0,2019-03-01T22:00:00-00:00,2019-03-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,221.57887,ACTUAL,1
2019-03-01,12,0,2019-03-01T19:00:00-00:00,2019-03-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,896.47809,ACTUAL,1
2019-03-01,19,0,2019-03-02T02:00:00-00:00,2019-03-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.9738,ACTUAL,1
2019-03-01,11,0,2019-03-01T18:00:00-00:00,2019-03-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,717.39618,ACTUAL,1
2019-03-01,24,0,2019-03-02T07:00:00-00:00,2019-03-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.78907,ACTUAL,1
2019-03-01,10,0,2019-03-01T17:00:00-00:00,2019-03-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,741.28978,ACTUAL,1
2019-03-01,16,0,2019-03-01T23:00:00-00:00,2019-03-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,209.73071,ACTUAL,1
2019-03-01,9,0,2019-03-01T16:00:00-00:00,2019-03-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,551.28489,ACTUAL,1
2019-03-01,23,0,2019-03-02T06:00:00-00:00,2019-03-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.78304,ACTUAL,1
2019-03-01,8,0,2019-03-01T15:00:00-00:00,2019-03-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,239.22918,ACTUAL,1
2019-03-01,18,0,2019-03-02T01:00:00-00:00,2019-03-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,29.99085,ACTUAL,1
2019-03-01,7,0,2019-03-01T14:00:00-00:00,2019-03-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6.21149,ACTUAL,1
